Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MSFT,Microsoft Corporation Common Stock,$378.61,1.18,0.313%,2813928840383.0,United States,1986.0,22179228,Technology,Computer Software: Prepackaged Software
META,Meta Platforms Inc. Class A Common Stock,$334.70,-3.53,-1.044%,860133056400.0,United States,2012.0,15684454,Technology,Computer Software: Programming Data Processing
V,Visa Inc.,$254.14,-0.16,-0.063%,466511164151.0,United States,,5478887,Consumer Discretionary,Business Services
HD,Home Depot Inc. (The) Common Stock,$310.92,0.22,0.071%,309446812536.0,United States,,2992573,Consumer Discretionary,RETAIL: Building Materials
CVX,Chevron Corporation Common Stock,$144.36,-0.54,-0.373%,272515397279.0,United States,,9850831,Energy,Integrated oil Companies
ASML,ASML Holding N.V. New York Registry Shares,$688.38,-2.8,-0.405%,271627458744.0,Netherlands,1995.0,545480,Technology,Industrial Machinery/Components
CRM,Salesforce Inc. Common Stock,$224.79,0.41,0.183%,218720670000.0,United States,2004.0,4885506,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$47.93,-0.43,-0.889%,194762389151.0,United States,1990.0,17651621,Telecommunications,Computer Communications Equipment
TTE,TotalEnergies SE,$68.70,-0.08,-0.116%,179934319280.0,France,,978980,Energy,Oil & Gas Production
CMCSA,Comcast Corporation Class A Common Stock,$42.09,-0.49,-1.151%,169415606635.0,United States,,19310514,Telecommunications,Cable & Other Pay Television Services
VZ,Verizon Communications Inc. Common Stock,$37.35,-0.06,-0.16%,157023196964.0,United States,,15245305,Telecommunications,Telecommunications Equipment
AMGN,Amgen Inc. Common Stock,$264.27,-1.19,-0.448%,141431497195.0,United States,1983.0,1846377,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NOW,ServiceNow Inc. Common Stock,$670.55,-3.35,-0.497%,137462750000.0,United States,2012.0,1010001,Technology,Computer Software: Prepackaged Software
COP,ConocoPhillips Common Stock,$114.80,-0.69,-0.597%,136314431742.0,United States,,5289707,Energy,Integrated oil Companies
UNP,Union Pacific Corporation Common Stock,$219.85,-4.43,-1.975%,134020009276.0,United States,,2369208,Industrials,Railroads
GE,General Electric Company Common Stock,$119.97,0.0,0.00%,130573673579.0,United States,,3179905,Technology,Consumer Electronics/Appliances
UPS,United Parcel Service Inc. Common Stock,$149.59,-2.44,-1.605%,127439548859.0,United States,1999.0,3320030,Industrials,Trucking Freight/Courier Services
SNY,Sanofi ADS,$47.65,0.47,0.996%,120157645260.0,France,,1490464,Health Care,Biotechnology: Pharmaceutical Preparations
SBUX,Starbucks Corporation Common Stock,$102.36,-0.42,-0.409%,116352612000.0,United States,1992.0,7853572,Consumer Discretionary,Restaurants
TD,Toronto Dominion Bank (The) Common Stock,$61.00,-0.49,-0.797%,111477500000.0,Canada,,1517665,,
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$62.60,-0.51,-0.808%,108748174316.0,Belgium,,1222901,Consumer Staples,Beverages (Production/Distribution)
BLK,BlackRock Inc. Common Stock,$730.68,0.58,0.079%,108697762310.0,United States,1999.0,868110,Finance,Investment Bankers/Brokers/Service
MDT,Medtronic plc. Ordinary Shares,$79.00,0.03,0.038%,105112163327.0,United States,,7252935,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DE,Deere & Company Common Stock,$362.21,-7.98,-2.156%,104316688995.0,United States,,2322197,Industrials,Industrial Machinery/Components
PLD,Prologis Inc. Common Stock,$111.87,-0.13,-0.116%,103364635770.0,United States,,2770878,Real Estate,Real Estate Investment Trusts
BP,BP p.l.c. Common Stock,$35.94,0.12,0.335%,102380328255.0,United Kingdom,,8413084,Energy,Integrated oil Companies
TJX,TJX Companies Inc. (The) Common Stock,$89.10,-0.87,-0.967%,101937577361.0,United States,,6165581,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AZN,AstraZeneca PLC American Depositary Shares,$63.66,-0.84,-1.302%,98609340000.0,United Kingdom,,4340553,Health Care,Biotechnology: Pharmaceutical Preparations
MDLZ,Mondelez International Inc. Class A Common Stock,$71.48,-0.14,-0.195%,97276816416.0,United States,,7100027,Consumer Staples,Packaged Foods
PGR,Progressive Corporation (The) Common Stock,$164.41,0.69,0.421%,96186575520.0,United States,,1692878,Finance,Property-Casualty Insurers
ADP,Automatic Data Processing Inc. Common Stock,$229.16,-1.5,-0.65%,94254603843.0,United States,,1551615,Technology,EDP Services
AMT,American Tower Corporation (REIT) Common Stock,$201.21,1.89,0.948%,93797083393.0,United States,,2525270,Real Estate,Real Estate Investment Trusts
CI,The Cigna Group Common Stock,$286.26,-1.59,-0.552%,83765391467.0,United States,,1220239,Health Care,Medical Specialities
MELI,MercadoLibre Inc. Common Stock,$1599.21,63.71,4.149%,80855317166.0,Argentina,2007.0,681068,Consumer Discretionary,Business Services
DEO,Diageo plc Common Stock,$141.83,-1.12,-0.783%,79769723043.0,United Kingdom,,2549069,Consumer Staples,Beverages (Production/Distribution)
MO,Altria Group Inc.,$41.44,-0.03,-0.072%,73292718171.0,United States,,6601696,Health Care, Medicinal Chemicals and Botanical Products 
ITW,Illinois Tool Works Inc. Common Stock,$241.80,-0.05,-0.021%,72754205784.0,United States,,777849,Industrials,Industrial Machinery/Components
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$32.32,-0.01,-0.031%,72041280000.0,United Kingdom,1998.0,4783910,Health Care, Medicinal Chemicals and Botanical Products 
RTO,Rentokil Initial plc American Depositary Shares (each representing five (5) Ordinary Shares),$28.50,-0.16,-0.558%,71620500000.0,United States,2022.0,455071,Consumer Discretionary,Business Services
CL,Colgate-Palmolive Company Common Stock,$77.11,-0.2,-0.259%,63490234891.0,United States,,3706593,Consumer Discretionary,Package Goods/Cosmetics
HUM,Humana Inc. Common Stock,$510.71,-7.55,-1.457%,62873875811.0,United States,,986348,Health Care,Medical Specialities
WDAY,Workday Inc. Class A Common Stock,$235.83,-0.78,-0.33%,61787460000.0,United States,,1746627,Technology,EDP Services
MCK,McKesson Corporation Common Stock,$461.89,0.52,0.113%,61460231197.0,United States,,781784,Health Care,Other Pharmaceuticals
ORLY,O'Reilly Automotive Inc. Common Stock,$983.13,-4.03,-0.408%,58164109108.0,United States,1993.0,283197,Consumer Discretionary,Auto & Home Supply Stores
EPD,Enterprise Products Partners L.P. Common Stock,$26.62,-0.12,-0.449%,57815419060.0,United States,,3219976,Utilities,Natural Gas Distribution
MNST,Monster Beverage Corporation,$54.72,-0.45,-0.816%,56932950563.0,United States,,4535610,Consumer Staples,Beverages (Production/Distribution)
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,$17.74,-0.34,-1.881%,56169275000.0,Mexico,2023.0,1298145,Telecommunications,Telecommunications Equipment
ROP,Roper Technologies Inc. Common Stock,$525.00,-0.59,-0.112%,56081611425.0,United States,1992.0,589362,Industrials,Industrial Machinery/Components
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$44.22,0.0,0.00%,53299825260.0,Canada,,1639509,,
CPRT,Copart Inc. (DE) Common Stock,$51.20,0.39,0.768%,49163849830.0,United States,1994.0,3734675,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
AFL,AFLAC Incorporated Common Stock,$82.97,0.03,0.036%,48485999390.0,United States,,2021538,Finance,Accident &Health Insurance
NSC,Norfolk Southern Corporation Common Stock,$211.88,-3.98,-1.844%,47913766448.0,United States,,1619239,Industrials,Railroads
AZO,AutoZone Inc. Common Stock,$2613.15,-74.85,-2.785%,46209423747.0,United States,,198933,Consumer Discretionary,Auto & Home Supply Stores
PSA,Public Storage Common Stock,$256.62,1.59,0.623%,45123075892.0,United States,,817203,Real Estate,Real Estate Investment Trusts
STZ,Constellation Brands Inc. Common Stock,$237.99,-0.38,-0.159%,43715412577.0,United States,,836356,Consumer Staples,Beverages (Production/Distribution)
HLT,Hilton Worldwide Holdings Inc. Common Stock ,$168.77,-1.05,-0.618%,43279430275.0,United States,2016.0,1941981,Consumer Discretionary,Hotels/Resorts
DHI,D.R. Horton Inc. Common Stock,$126.27,-1.21,-0.949%,42071190905.0,United States,,1716531,Consumer Discretionary,Homebuilding
TFC,Truist Financial Corporation Common Stock,$31.44,-0.34,-1.07%,41930524341.0,United States,,8574253,Finance,Major Banks
KMB,Kimberly-Clark Corporation Common Stock,$122.40,-0.03,-0.025%,41363980970.0,United States,,1387412,Consumer Discretionary,Containers/Packaging
GWW,W.W. Grainger Inc. Common Stock,$810.36,-1.94,-0.239%,40221529794.0,United States,,240816,Industrials,Office Equipment/Supplies/Services
NUE,Nucor Corporation Common Stock,$161.23,4.07,2.59%,39636621809.0,United States,,1349417,Industrials,Steel/Iron Ore
OKE,ONEOK Inc. Common Stock,$67.21,-0.11,-0.163%,39153234832.0,United States,,2370805,Utilities,Oil & Gas Production
HSY,The Hershey Company Common Stock,$188.40,-3.28,-1.711%,38527457866.0,United States,,1246694,Consumer Staples,Specialty Foods
LVS,Las Vegas Sands Corp. Common Stock,$48.56,-0.36,-0.736%,37123676841.0,United States,2004.0,4237728,Consumer Discretionary,Hotels/Resorts
BK,The Bank of New York Mellon Corporation Common Stock,$47.00,-0.35,-0.739%,36146444066.0,United States,,4074532,Finance,Major Banks
BCE,BCE Inc. Common Stock,$39.33,-0.35,-0.882%,35879746803.0,Canada,,1860670,,
LHX,L3Harris Technologies Inc. Common Stock,$187.92,-3.09,-1.618%,35618403592.0,United States,,676154,Industrials,Industrial Machinery/Components
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$70.77,-0.4,-0.562%,35484965880.0,United States,1998.0,2769476,Technology,EDP Services
MFC,Manulife Financial Corporation Common Stock,$19.29,-0.1,-0.516%,35069220000.0,Canada,,10671147,Finance,Life Insurance
BBD,Banco Bradesco Sa American Depositary Shares,$3.28,-0.02,-0.606%,34906318348.0,Brazil,,7499073,Finance,Major Banks
FAST,Fastenal Company Common Stock,$60.95,-0.01,-0.016%,34827632407.0,United States,1987.0,2537134,Consumer Discretionary,RETAIL: Building Materials
WCN,Waste Connections Inc. Common Shares,$133.67,0.36,0.27%,34427378855.0,Canada,,1027209,Utilities,Power Generation
FERG,Ferguson plc Ordinary Shares,$168.60,0.86,0.513%,34371437354.0,United Kingdom,2021.0,860730,Miscellaneous,Miscellaneous
HAL,Halliburton Company Common Stock,$37.69,-0.37,-0.972%,33734500156.0,United States,,7736617,Energy,Oilfield Services/Equipment
IT,Gartner Inc. Common Stock,$431.36,4.51,1.057%,33623913272.0,United States,1993.0,306615,Consumer Discretionary,Other Consumer Services
FIS,Fidelity National Information Services Inc. Common Stock,$55.99,0.49,0.883%,33173156820.0,United States,,6377206,Consumer Discretionary,Business Services
URI,United Rentals Inc. Common Stock,$464.19,-3.12,-0.668%,31463471276.0,United States,1997.0,474275,,
ROK,Rockwell Automation Inc. Common Stock,$271.06,-1.94,-0.711%,31083136795.0,United States,,1054683,Industrials,Industrial Machinery/Components
SLF,Sun Life Financial Inc. Common Stock,$51.14,-0.29,-0.564%,29880866756.0,Canada,,3247285,Finance,Life Insurance
